case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,strategy,source_plan
case_044,5,154407,132892,91544,1.686697107401905,3938432,data_band_12,q1_optimization/case_044/n5/data_band_12/case_044_multicore_res.json
case_045,2,125614,63059,63059,1.99200748505368,0,baseline,baseline_results_29_55/case_045/q1_n2/case_045_multicore_res.json
case_045,3,125614,42601,42601,2.94861622966597,0,baseline,baseline_results_29_55/case_045/q1_n3/case_045_multicore_res.json
case_045,4,125614,31878,31878,3.940460505677897,0,baseline,baseline_results_29_55/case_045/q1_n4/case_045_multicore_res.json
case_045,5,125614,26164,26164,4.801024308209754,0,baseline,baseline_results_29_55/case_045/q1_n5/case_045_multicore_res.json
case_046,2,276455,166578,138890,1.9904600763193894,1561184,data_band_12,q1_optimization/case_046/n2/data_band_12/case_046_multicore_res.json
case_046,3,276455,142176,118466,2.333623149258015,2491584,data_band_12,q1_optimization/case_046/n3/data_band_12/case_046_multicore_res.json
case_046,4,276455,124612,113490,2.4359414926425234,3421984,data_band_12,q1_optimization/case_046/n4/data_band_12/case_046_multicore_res.json
case_046,5,276455,131039,116275,2.3775962158675554,4352384,data_band_12,q1_optimization/case_046/n5/data_band_12/case_046_multicore_res.json
case_047,2,326508,326508,202068,1.615832294079221,1097622,valley_merge_16_heft,q1_optimization/case_047/n2/valley_merge_16_heft/case_047_multicore_res.json
case_047,3,326508,326508,154800,2.10922480620155,1594560,valley_merge_16_heft,q1_optimization/case_047/n3/valley_merge_16_heft/case_047_multicore_res.json
case_047,4,326508,326508,128336,2.544165316045381,1496234,valley_merge_16_heft,q1_optimization/case_047/n4/valley_merge_16_heft/case_047_multicore_res.json
case_047,5,326508,326508,119895,2.7232828725134492,2290708,valley_merge_16_heft,q1_optimization/case_047/n5/valley_merge_16_heft/case_047_multicore_res.json
case_048,2,222220,222220,138281,1.6070175946080807,843532,valley_merge_10_heft,q1_optimization/case_048/n2/valley_merge_10_heft/case_048_multicore_res.json
case_048,3,222220,222220,117377,1.8932158770457586,937780,valley_merge_10_heft,q1_optimization/case_048/n3/valley_merge_10_heft/case_048_multicore_res.json
case_048,4,222220,222220,112953,1.9673669579382576,964532,valley_merge_10_heft,q1_optimization/case_048/n4/valley_merge_10_heft/case_048_multicore_res.json
case_048,5,222220,222220,111155,1.9991903198236696,968758,valley_merge_10_heft,q1_optimization/case_048/n5/valley_merge_10_heft/case_048_multicore_res.json
case_049,2,196276,160206,148975,1.3175096492700118,272632,valley_merge_20_heft,q1_optimization/case_049/n2/valley_merge_20_heft/case_049_multicore_res.json
case_049,3,196276,160224,118835,1.6516682795472715,331140,valley_merge_20_heft,q1_optimization/case_049/n3/valley_merge_20_heft/case_049_multicore_res.json
case_049,4,196276,160242,98817,1.9862574253417935,385552,valley_merge_20_heft,q1_optimization/case_049/n4/valley_merge_20_heft/case_049_multicore_res.json
case_049,5,196276,160260,93035,2.1097006502929005,446270,valley_merge_20_heft,q1_optimization/case_049/n5/valley_merge_20_heft/case_049_multicore_res.json
case_050,2,149690,108121,81231,1.84276938607182,406870,valley_merge_40_heft,q1_optimization/case_050/n2/valley_merge_40_heft/case_050_multicore_res.json
case_050,3,149690,108134,59129,2.531583486952257,503858,valley_merge_40_heft,q1_optimization/case_050/n3/valley_merge_40_heft/case_050_multicore_res.json
