case,cores,singlecore_cycles,initial_cycles,makespan_cycles,initial_speedup,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,locality_ratio,internalized_bytes,buffer85_ok,evaluations,wall_seconds,selected
case_033,2,1774196,897883,897134,1.975976825488399,1.9776265307077872,0.08341844093272731,6116404,3827712,523776,105480,0.9940825610430151,18582270,False,8,13.887828093022108,valley_w6_k2
case_033,3,1774196,604202,594691,2.9364285454202403,2.9833913746802962,1.574142422567287,6873680,2958336,523776,81932,0.9930966243625114,18563840,False,8,19.210900378995575,valley_w12_k3
case_033,4,1774196,460454,448871,3.853144939559652,3.952574347641082,2.5155607291933615,7873656,2092544,523776,81932,0.9922194991420265,18547444,False,8,15.951927223999519,move_s13_c0
case_033,5,1774196,376794,361345,4.708663089115007,4.90997799886535,4.100118367065293,8182424,1402880,523776,73740,0.9909049882297456,18522872,False,8,17.074416611983906,valley_w6_k5
case_034,2,842996,418129,418129,2.016114644045259,2.016114644045259,0.0,1648128,581632,524288,122898,1.0,12285880,False,8,14.642910756985657,base_w0_k2
case_034,3,842996,282515,282277,2.9838982000955703,2.986414054280016,0.08424331451427358,2698752,261632,524288,130060,1.0,12285880,False,8,20.21710594004253,split_s0_d12_c0
case_034,4,842996,213112,213112,3.955647734524569,3.955647734524569,0.0,3176960,57344,472576,122890,1.0,12285880,False,8,17.699103049002588,base_w0_k4
case_034,5,842996,178096,177825,4.733379750247058,4.740593279910024,0.15216512442727517,3536896,49152,326144,122890,1.0,12285880,False,8,23.56493159296224,split_s1_d9_c1
case_035,2,169571,95406,95406,1.7773620107750037,1.7773620107750037,0.0,0,0,73728,74792,1.0,4902214,True,8,12.75049788801698,base_w0_k2
case_035,3,169571,95424,92120,1.77702674379611,1.8407620495006514,3.4624413145539905,1214380,0,73856,32086,0.8588091013570603,4210066,True,8,16.239764307043515,valley_w1_k3
case_035,4,169571,95442,69097,1.7766916032773832,2.454100756906957,27.6031516523124,940480,0,73728,23986,0.8816428658561213,4322002,True,8,21.63870702899294,eft_placement
