case,cores,q1_speedup,q2_speedup,q1_cycles,q2_cycles,q1_extra_bytes,q2_extra_bytes
case_011,4,3.9397824232081913,3.9397824232081913,46880,46880,540672,540672
case_011,5,3.905872649988369,3.905872649988369,47287,47287,1622016,1622016
case_012,2,1.9634478633614674,1.9634478633614674,30094,30094,28800,28800
case_012,3,2.6988215949575225,2.6988215949575225,21894,21894,20160,20160
case_012,4,3.42817359016013,3.42817359016013,17236,17236,39168,39168
case_012,5,4.132027972027972,4.132027972027972,14300,14300,49536,49536
case_013,2,1.9966187083011846,1.9966187083011846,132198,132198,8192,8192
case_013,3,2.98750438591527,2.98750438591527,88351,88351,16384,16384
case_013,4,3.9405959810098237,3.9405959810098237,66982,66982,24576,24576
case_013,5,4.855305998565201,4.855305998565201,54363,54363,32768,32768
case_014,2,1.990404605321608,1.990404605321608,8891974,8891974,71575992,71575992
case_014,3,2.9593236968935726,2.9593236968935726,5980632,5980632,77640360,77640360
case_014,4,3.9098642266041628,3.9098642266041628,4526660,4526660,82469784,82469784
case_014,5,4.790351969339367,4.790351969339367,3694640,3694640,87765000,87765000
case_015,2,1.9192736795403145,1.9192736795403145,92411,92411,224536,224536
case_015,3,2.916802341835644,2.916802341835644,60807,60807,306448,306448
case_015,4,3.320080118305535,3.320080118305535,53421,53421,263936,263936
case_015,5,4.083200957708866,4.083200957708866,43437,43437,321536,321536
case_016,2,1.1500751560061007,1.6165987350108084,6708712,4772689,79041864,119946716
case_016,3,1.1433126375420044,2.6750015428321405,6748393,2884306,59379864,4872
case_016,4,1.1272008510921785,3.217596536991511,6844852,2397915,47582664,17068
case_016,5,1.1022926848015215,3.22415937257891,6999523,2393034,38931372,19504
case_017,2,1.8568658759124088,1.8568658759124088,87680,87680,87552,87552
case_017,3,2.7793236484064257,2.7793236484064257,58579,58579,175104,175104
case_017,4,3.841308040770102,3.841308040770102,42384,42384,259200,259200
case_017,5,4.586713995943205,4.586713995943205,35496,35496,340992,340992
case_018,2,2.0003126836020355,1.9874720242842074,502105,505349,3191808,3044352
case_018,3,2.969110656513102,2.969110656513102,338272,338272,3867008,3867008
case_018,4,3.89088958017766,3.89088958017766,258133,258133,4853504,4853504
case_018,5,4.926627915532338,4.926627915532338,203865,203865,5693440,5693440
case_019,2,1.8772903942254304,1.8772903942254304,43224,43224,27168,27168
case_019,3,2.7864427732564128,2.7864427732564128,29121,29121,24576,24576
case_019,4,2.906824288017195,3.3671106684924688,27915,24099,117320,51744
case_019,5,3.349182763744428,3.357358599859324,24228,24169,97356,73728
case_020,2,1.9984469952734638,1.9984469952734638,266580,266580,0,0
case_020,3,2.993796010115201,2.993796010115201,177950,177950,0,0
case_020,4,3.984518039849219,3.984518039849219,133704,133704,0,0
case_020,5,4.948871342313051,4.948871342313051,107650,107650,0,0
case_021,2,2.0559690349561914,2.0559690349561914,3194570,3194570,3174400,3174400
case_021,3,3.063369160046716,3.047336709809846,2144024,2155304,7766016,8882176
case_021,4,4.236493145948847,4.236493145948847,1550324,1550324,4608000,4608000
case_021,5,5.253643510312214,5.253643510312214,1250168,1250168,11431936,11431936
case_022,2,2.004023576747962,2.004023576747962,28333,28333,6912,6912
