case,cores,strategy,active_cores,band_width,data_aware,status,makespan_cycles,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,wall_seconds,error
case_048,5,band_w3_k3,3,3,0,ok,126026,680556,680556,0,20800,10628,0.373,
case_048,5,band_w1_k4,4,1,0,ok,111772,889616,889616,0,13568,10564,0.452,
case_018,5,band_w4_k4,4,4,0,ok,286685,8364416,8364416,0,425344,88576,0.762,
case_048,5,band_w2_k4,4,2,0,ok,123104,885168,885168,0,14016,10500,0.438,
case_048,5,band_w3_k4,4,3,0,ok,122527,631568,631568,0,20672,10500,0.354,
case_018,5,band_w8_k4,4,8,0,ok,270415,6471812,5893252,578560,524288,98306,0.697,
case_048,5,band_w1_k5,5,1,0,ok,113883,1233716,1233716,0,12480,10500,0.489,
case_018,5,band_w12_k4,4,12,0,ok,261801,4590616,3922968,667648,524288,114692,0.547,
case_048,5,band_w2_k5,5,2,0,ok,124199,1101364,1101364,0,14912,10436,0.407,
case_048,5,band_w3_k5,5,3,0,ok,122282,732212,732212,0,20736,10436,0.404,
case_018,5,band_w4_k5,5,4,0,ok,242464,9232012,9232012,0,310656,90112,0.865,
case_064,5,band_w1_k2,2,1,0,ok,22635,110630,110630,0,6720,4804,0.185,
case_064,5,band_w2_k2,2,2,0,ok,19373,93702,93702,0,6688,5218,0.18,
case_064,5,band_w3_k2,2,3,0,ok,16128,64806,64806,0,8832,5154,0.163,
case_064,5,band_w1_k3,3,1,0,ok,20983,137484,137484,0,4416,3588,0.209,
case_018,5,band_w8_k5,5,8,0,ok,220373,5063316,5063316,0,360448,90114,0.688,
case_064,5,band_w2_k3,3,2,0,ok,17472,127500,127500,0,6304,3778,0.185,
case_064,5,band_w3_k3,3,3,0,ok,14539,80524,80524,0,7936,4100,0.159,
case_064,5,band_w1_k4,4,1,0,ok,20144,230386,230386,0,4352,2756,0.226,
case_018,5,band_w12_k5,5,12,0,ok,206559,4202516,4202516,0,520192,81922,0.551,
case_064,5,band_w2_k4,4,2,0,ok,17016,208978,208978,0,4992,3204,0.209,
case_019,5,band_w4_k2,2,4,0,ok,38791,219960,219960,0,50944,112640,0.111,
case_019,5,band_w8_k2,2,8,0,ok,45403,205356,205356,0,42240,77314,0.1,
